strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
030901011401,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011403,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011404,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011601,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011602,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011603,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011604,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011701,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011702,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011703,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011704,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011801,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011802,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011803,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011804,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901011902,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901012004,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030101,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030102,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030104,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
030901030105,mABBEf,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
